ACAB0180,CONTROL ITEM TYPE,330,STN,STOCK ID,STOCK ID,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,340,TFD,TRANSFER DATE,TRANSFER DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,350,TER,TERM,TERM,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,360,MON,MONTH,MONTH,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,370,EMP,EMPLOYEE NAME,EMPLOYEE NAME,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,380,ETC,OTHER,OTHER,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,390,EMD,EMPLOYEE ID,EMPLOYEE ID,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,400,RPD,REPAYMENT DATE,REPAYMENT DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,410,NOD,NOTICE DATE,NOTICE DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,420,NON,NOTICE NO,NOTICE NO,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,430,EXR,EXCHANGE RATE,EXCHANGE RATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,440,TRY,TRANSACTION TYPE,TRANSACTION TYPE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,450,EXP,EXPENSE NAME,EXPENSE NAME,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,460,ASS,ASSET ID,ASSET ID,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,470,DOC,DOCUMENT TYPE,DOCUMENT TYPE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,480,BAN,BANK ACCOUNT,BANK ACCOUNT,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,490,REM,REMITTANCE TYPE,REMITTANCE TYPE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,500,EXD,EXPIRY DATE,EXPIRY DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,510,NUM,NUMBER,NUMBER,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,520,ADV,ADVANCE DATE,ADVANCE DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,530,CUS,CUSTOMER NAME,CUSTOMER NAME,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,540,COP,COST PRICER,COST PRICER,N,1,,,,
ACAB0185,CONTROL ITEM GROUP,10,VAT,VAT CONTROL ITEM,VAT CONTROL ITEM,N,1,,,,
ACAB0185,CONTROL ITEM GROUP,20,AR,AR REGISTER SLIP,AR REGISTER SLIP,N,1,,,,
ACAB0185,CONTROL ITEM GROUP,30,ARCAN,AR CANCEL SLIP,AR CANCEL SLIP,N,1,,,,
ACAB0185,CONTROL ITEM GROUP,40,AP,AP REGISTER SLIP,AP REGISTER SLIP,N,1,,,,
ACAB0185,CONTROL ITEM GROUP,50,APCAN,AP CANCEL SLIP,AP CANCEL SLIP,N,1,,,,
ACAB0190,DATA TYPE,1,D,DATE,DATE,N,1,,,,
ACAB0190,DATA TYPE,1,N,NUMBER,NUMBER,N,1,,,,
ACAB0190,DATA TYPE,1,C,CHARACTER,CHARACTER,N,1,,,,
ACAB0200,RATE TYPE,10,01,Buying,Buying,N,1,,,,
ACAB0200,RATE TYPE,20,02,Selling,Selling,N,1,,,,
ACAB0200,RATE TYPE,30,03,Bank,Bank,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,10,110,110,110,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,20,130,130,130,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,30,140,140,140,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,40,150,150,150,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,50,160,160,160,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,60,210,210,210,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,70,211,211,211,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,80,214,214,214,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,90,217,217,217,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,100,220,220,220,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,110,240,240,240,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,120,310,310,310,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,130,330,330,330,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,140,340,340,340,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,150,410,410,410,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,160,420,420,420,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,170,430,430,430,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,180,440,440,440,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,190,450,450,450,N,1,,,,
ACAB0210,ACCOUNT GROUP BS,200,460,460,460,N,1,,,,
ACAB0215,ACCOUNT BS,10,111000,111000,111000,N,1,,,2,
ACAB0215,ACCOUNT BS,20,112000,112000,112000,N,1,,,5,
ACAB0215,ACCOUNT BS,30,113000,113000,113000,N,1,,,,
ACAB0215,ACCOUNT BS,40,121100,121100,121100,N,1,,,,
ACAB0215,ACCOUNT BS,50,121200,121200,121200,N,1,,,,
ACAB0215,ACCOUNT BS,60,128000,128000,128000,N,1,,,,
ACAB0215,ACCOUNT BS,70,129000,129000,129000,N,1,,,,
ACAB0215,ACCOUNT BS,80,131000,131000,131000,N,1,,,,
ACAB0215,ACCOUNT BS,90,131100,131100,131100,N,1,,,,
ACAB0215,ACCOUNT BS,100,131200,131200,131200,N,1,,,,
ACAB0215,ACCOUNT BS,110,131300,131300,131300,N,1,,,,
ACAB0215,ACCOUNT BS,120,131400,131400,131400,N,1,,,,
ACAB0215,ACCOUNT BS,130,133000,133000,133000,N,1,,,,
ACAB0215,ACCOUNT BS,140,136000,136000,136000,N,1,,,,
ACAB0215,ACCOUNT BS,150,136100,136100,136100,N,1,,,,
ACAB0215,ACCOUNT BS,160,138000,138000,138000,N,1,,,,
ACAB0215,ACCOUNT BS,170,138100,138100,138100,N,1,,,,
ACAB0215,ACCOUNT BS,180,138200,138200,138200,N,1,,,,
ACAB0215,ACCOUNT BS,190,138800,138800,138800,N,1,,,,
ACAB0215,ACCOUNT BS,200,138810,138810,138810,N,1,,,,
ACAB0215,ACCOUNT BS,210,139000,139000,139000,N,1,,,,
ACAB0215,ACCOUNT BS,220,141000,141000,141000,N,1,,,,
ACAB0215,ACCOUNT BS,230,142000,142000,142000,N,1,,,,
ACAB0215,ACCOUNT BS,240,144000,144000,144000,N,1,,,,
ACAB0215,ACCOUNT BS,250,151000,151000,151000,N,1,,,,
ACAB0215,ACCOUNT BS,260,152000,152000,152000,N,1,,,,
ACAB0215,ACCOUNT BS,270,153000,153000,153000,N,1,,,,
ACAB0215,ACCOUNT BS,280,154000,154000,154000,N,1,,,,
ACAB0215,ACCOUNT BS,290,155000,155000,155000,N,1,,,,
ACAB0215,ACCOUNT BS,300,156000,156000,156000,N,1,,,,
ACAB0215,ACCOUNT BS,310,157000,157000,157000,N,1,,,,
ACAB0215,ACCOUNT BS,320,159000,159000,159000,N,1,,,,
ACAB0215,ACCOUNT BS,330,161000,161000,161000,N,1,,,,
ACAB0215,ACCOUNT BS,340,211000,211000,211000,N,1,,,,
ACAB0215,ACCOUNT BS,350,212000,212000,212000,N,1,,,,
ACAB0215,ACCOUNT BS,380,213000,213000,213000,N,1,,,,
ACAB0215,ACCOUNT BS,400,213200,213200,213200,N,1,,,,
ACAB0215,ACCOUNT BS,410,214000,214000,214000,N,1,,,,
ACAB0215,ACCOUNT BS,420,214100,214100,214100,N,1,,,,
ACAB0215,ACCOUNT BS,440,214200,214200,214200,N,1,,,,
ACAB0215,ACCOUNT BS,460,214300,214300,214300,N,1,,,,
ACAB0215,ACCOUNT BS,480,214700,214700,214700,N,1,,,,
ACAB0215,ACCOUNT BS,490,217000,217000,217000,N,1,,,,
ACAB0215,ACCOUNT BS,500,221000,221000,221000,N,1,,,,
ACAB0215,ACCOUNT BS,510,222000,222000,222000,N,1,,,,
ACAB0215,ACCOUNT BS,520,223000,223000,223000,N,1,,,,
ACAB0215,ACCOUNT BS,530,228000,228000,228000,N,1,,,,
ACAB0215,ACCOUNT BS,540,229000,229000,229000,N,1,,,,
ACAB0215,ACCOUNT BS,550,241000,241000,241000,N,1,,,,
ACAB0215,ACCOUNT BS,560,242000,242000,242000,N,1,,,,
ACAB0215,ACCOUNT BS,570,244000,244000,244000,N,1,,,,
ACAB0215,ACCOUNT BS,580,311000,311000,311000,N,1,,,,
ACAB0215,ACCOUNT BS,590,315000,315000,315000,N,1,,,,
ACAB0215,ACCOUNT BS,600,331000,331000,331000,N,1,,,,
ACAB0215,ACCOUNT BS,610,331100,331100,331100,N,1,,,,
ACAB0215,ACCOUNT BS,620,331200,331200,331200,N,1,,,,
ACAB0215,ACCOUNT BS,630,331300,331300,331300,N,1,,,,
ACAB0215,ACCOUNT BS,640,331400,331400,331400,N,1,,,,
ACAB0215,ACCOUNT BS,650,333000,333000,333000,N,1,,,,
ACAB0215,ACCOUNT BS,660,333400,333400,333400,N,1,,,,
ACAB0215,ACCOUNT BS,670,334000,334000,334000,N,1,,,,
ACAB0215,ACCOUNT BS,680,335000,335000,335000,N,1,,,,
ACAB0215,ACCOUNT BS,690,336000,336000,336000,N,1,,,,
ACAB0215,ACCOUNT BS,700,337000,337000,337000,N,1,,,,
ACAB0215,ACCOUNT BS,710,337100,337100,337100,N,1,,,,
ACAB0215,ACCOUNT BS,720,337200,337200,337200,N,1,,,,
ACAB0215,ACCOUNT BS,730,338000,338000,338000,N,1,,,,
